state_code,county_code,county_name,state_name,geo_center
20,139,Osage,Kansas,"38 39m 8.38412s N, 95 43m 37.0025s W"
48,225,Houston,Texas,"31 19m 3.8372s N, 95 25m 21.6377s W"
28,19,Choctaw,Mississippi,"33 20m 50.3054s N, 89 14m 54.1723s W"
17,59,Gallatin,Illinois,"37 45m 45.9231s N, 88 13m 49.6767s W"
39,87,Lawrence,Ohio,"38 35m 54.4893s N, 82 32m 12.3087s W"
26,15,Barry,Michigan,"42 35m 42.1024s N, 85 18m 32.2851s W"
37,169,Stokes,North Carolina,"36 24m 6.85442s N, 80 14m 22.2566s W"
39,129,Pickaway,Ohio,"39 38m 30.9879s N, 83 1m 27.8099s W"
38,47,Logan,North Dakota,"46 27m 26.4405s N, 99 28m 38.6901s W"
17,41,Douglas,Illinois,"39 46m 10.0372s N, 88 13m 2.40494s W"
5,65,Izard,Arkansas,"36 5m 41.5317s N, 91 54m 48.2771s W"
29,51,Cole,Missouri,"38 30m 19.4758s N, 92 16m 53.7861s W"
29,173,Ralls,Missouri,"39 31m 39.6126s N, 91 31m 19.2872s W"
48,159,Franklin,Texas,"33 10m 31.9752s N, 95 13m 6.30983s W"
13,99,Early,Georgia,"31 19m 22.1978s N, 84 54m 13.1163s W"
28,101,Newton,Mississippi,"32 24m 0.836449s N, 89 7m 7.71067s W"
36,45,Jefferson,New York,"43 59m 55.9024s N, 76 3m 7.4472s W"
28,135,Tallahatchie,Mississippi,"33 57m 1.70933s N, 90 10m 23.7512s W"
35,13,Doña Ana,New Mexico,"32 21m 9.53314s N, 106 49m 57.7967s W"
55,67,Langlade,Wisconsin,"45 15m 44.4397s N, 89 4m 18.8718s W"
19,21,Buena Vista,Iowa,"42 44m 7.77704s N, 95 9m 4.13589s W"
13,261,Sumter,Georgia,"32 2m 23.8538s N, 84 11m 49.4018s W"
41,57,Tillamook,Oregon,"45 27m 24.021s N, 123 45m 31.1929s W"
48,329,Midland,Texas,"31 52m 8.97581s N, 102 1m 53.7934s W"
51,660,Harrisonburg,Virginia,"38 26m 10.277s N, 78 52m 24.5252s W"
21,91,Hancock,Kentucky,"37 50m 29.4314s N, 86 46m 40.5307s W"
46,13,Brown,South Dakota,"45 35m 23.0027s N, 98 21m 5.8025s W"
20,45,Douglas,Kansas,"38 53m 4.77403s N, 95 17m 33.3827s W"
48,145,Falls,Texas,"31 15m 11.778s N, 96 56m 9.04953s W"
47,83,Houston,Tennessee,"36 17m 9.49798s N, 87 43m 1.32826s W"
51,77,Grayson,Virginia,"36 39m 23.4625s N, 81 13m 29.6079s W"
4,5,Coconino,Arizona,"35 50m 19.3044s N, 111 46m 13.8458s W"
39,79,Jackson,Ohio,"39 1m 10.8199s N, 82 37m 6.17858s W"
1,87,Macon,Alabama,"32 23m 9.5053s N, 85 41m 33.6072s W"
41,19,Douglas,Oregon,"43 17m 7.24645s N, 123 10m 46.4047s W"
23,27,Waldo,Maine,"44 29m 6.889s N, 69 7m 18.7708s W"
20,133,Neosho,Kansas,"37 33m 30.5475s N, 95 18m 24.4523s W"
21,89,Greenup,Kentucky,"38 32m 44.3929s N, 82 55m 20.2521s W"
21,101,Henderson,Kentucky,"37 47m 45.0325s N, 87 34m 23.3459s W"
72,47,Corozal,Puerto Rico,"18 18m 15.5504s N, 66 19m 40.4279s W"
40,149,Washita,Oklahoma,"35 17m 25.3221s N, 98 59m 32.0039s W"
24,35,Queen Anne's,Maryland,"39 2m 15.4623s N, 76 5m 6.12962s W"
